"","prize","prizeLabel","person","personLabel","pic","sexlabel","countrylabel","birth","death"
"1","http://www.wikidata.org/entity/Q3888785","Premio Adonáis de Poesía","http://www.wikidata.org/entity/Q10902603","Miguel Fernández","http://commons.wikimedia.org/wiki/Special:FilePath/Miguel%20fernadez%20poeta.jpg","masculino","España","1931-05-13T00:00:00Z","1993-03-05T00:00:00Z"
"2","http://www.wikidata.org/entity/Q3405924","Premio Internacional Alfonso Reyes","http://www.wikidata.org/entity/Q909","Jorge Luis Borges","http://commons.wikimedia.org/wiki/Special:FilePath/Jorge%20Luis%20Borges%201951%2C%20by%20Grete%20Stern.jpg","masculino","Argentina","1899-08-24T00:00:00Z","1986-06-14T00:00:00Z"
"3","http://www.wikidata.org/entity/Q1088492","Premio Rómulo Gallegos","http://www.wikidata.org/entity/Q5878","Gabriel García Márquez","http://commons.wikimedia.org/wiki/Special:FilePath/Gabriel%20Garcia%20Marquez.jpg","masculino","Colombia","1927-03-06T00:00:00Z","2014-04-17T00:00:00Z"
"4","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q34189","Pablo Neruda","http://commons.wikimedia.org/wiki/Special:FilePath/Pablo%20Neruda%201963.jpg","masculino","Chile","1904-07-12T00:00:00Z","1973-09-23T00:00:00Z"
"5","http://www.wikidata.org/entity/Q3405924","Premio Internacional Alfonso Reyes","http://www.wikidata.org/entity/Q59837","Jorge Guillén","http://commons.wikimedia.org/wiki/Special:FilePath/Jorge%20Guill%C3%A9n%20y%20la%20infancia.jpg","masculino","España","1893-01-18T00:00:00Z","1984-02-02T00:00:00Z"
"6","http://www.wikidata.org/entity/Q3405924","Premio Internacional Alfonso Reyes","http://www.wikidata.org/entity/Q59837","Jorge Guillén","http://commons.wikimedia.org/wiki/Special:FilePath/Jorge%20Guill%C3%A9n%20y%20la%20infancia.jpg","masculino","España","1893-01-18T00:00:00Z","1984-02-06T00:00:00Z"
"7","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q5742535","Hernán del Solar","http://commons.wikimedia.org/wiki/Special:FilePath/Hern%C3%A1n%20del%20Solar.png","masculino","Chile","1901-09-19T00:00:00Z","1985-01-22T00:00:00Z"
"8","http://www.wikidata.org/entity/Q4663319","Premio Café Gijón","http://www.wikidata.org/entity/Q5860120","Fernando Quiñones","http://commons.wikimedia.org/wiki/Special:FilePath/Estatuafernandoqui.jpg","masculino","España","1930-03-02T00:00:00Z","1998-11-17T00:00:00Z"
"9","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q5862065","Julio Barrenechea","http://commons.wikimedia.org/wiki/Special:FilePath/Julio%20Barrenechea%20Pino.jpg","masculino","Chile","1910-03-13T00:00:00Z","1979-11-09T00:00:00Z"
"10","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q6299957","Juan Guzmán Cruchaga","http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Guzm%C3%A1n%20Cruchaga%20-%20MINREL.jpg","masculino","Chile","1895-03-27T00:00:00Z","1979-07-21T00:00:00Z"
"11","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q7159882","Pedro Prado","http://commons.wikimedia.org/wiki/Special:FilePath/Pedro%20Prado.jpg","masculino","Chile","1886-10-08T00:00:00Z","1952-01-31T00:00:00Z"
"12","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q7398153","Sady Zañartu","http://commons.wikimedia.org/wiki/Special:FilePath/Sady%20Za%C3%B1artu.jpg","masculino","Chile","1893-05-06T00:00:00Z","1983-01-01T00:00:00Z"
"13","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q7412017","Samuel Lillo","http://commons.wikimedia.org/wiki/Special:FilePath/Samuel%20A%20Lillo.jpg","masculino","Chile","1870-02-13T00:00:00Z","1958-10-19T00:00:00Z"
"14","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q7944610","Víctor Domingo Silva","http://commons.wikimedia.org/wiki/Special:FilePath/V%C3%ADctor%20Domingo%20Silva.jpg","masculino","Chile","1882-05-12T00:00:00Z","1960-08-20T00:00:00Z"
"15","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q8246479","Benjamín Subercaseaux","http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Subercaseaux.jpg","masculino","Chile","1902-11-20T00:00:00Z","1973-03-11T00:00:00Z"
"16","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q9003221","Hernán Díaz Arrieta","http://commons.wikimedia.org/wiki/Special:FilePath/Alone%201916.JPG","masculino","Chile","1891-01-01T00:00:00Z","1984-01-01T00:00:00Z"
"17","http://www.wikidata.org/entity/Q860699","Premio Nacional de Literatura","http://www.wikidata.org/entity/Q9014584","José Miguel Varas","http://commons.wikimedia.org/wiki/Special:FilePath/Varas%2C%20Jose%20Miguel%20diciembre%202010.jpg","masculino","Chile","1928-03-12T00:00:00Z","2011-09-23T00:00:00Z"
"18","http://www.wikidata.org/entity/Q1280377","Premio Alfaguara de Novela","http://www.wikidata.org/entity/Q1362119","Tomás Eloy Martínez","http://commons.wikimedia.org/wiki/Special:FilePath/Tom%C3%A1s%20Eloy%20Mart%C3%ADnez.JPG","masculino","Argentina","1934-07-16T00:00:00Z","2010-01-31T00:00:00Z"
